"...1","id","gender","math","daysabs","prog"
1,1001,"male",63,4,"Academic"
2,1002,"male",27,4,"Academic"
3,1003,"female",20,2,"Academic"
4,1004,"female",16,3,"Academic"
5,1005,"female",2,3,"Academic"
6,1006,"female",71,13,"Academic"
7,1007,"female",63,11,"Academic"
8,1008,"male",3,7,"Academic"
9,1009,"male",51,10,"Academic"
10,1010,"male",49,9,"Vocational"
11,1011,"female",31,4,"Vocational"
12,1012,"male",22,5,"Academic"
13,1013,"female",73,5,"Academic"
14,1014,"female",77,6,"General"
15,1015,"male",10,1,"Vocational"
16,1016,"male",89,0,"Academic"
17,1017,"female",34,1,"Academic"
18,1018,"female",35,0,"Academic"
19,1019,"male",77,5,"General"
20,1020,"male",4,24,"Academic"
21,1021,"female",21,2,"Academic"
22,1022,"male",61,0,"Academic"
23,1023,"male",41,1,"Academic"
24,1024,"male",63,0,"Academic"
25,1025,"female",19,8,"Academic"
26,1026,"male",55,6,"General"
27,1027,"male",6,7,"Academic"
28,1028,"female",21,0,"Academic"
29,1029,"male",70,2,"Academic"
30,1030,"male",79,3,"General"
31,1031,"male",1,0,"Academic"
32,1032,"female",29,1,"Academic"
33,1033,"male",40,3,"Academic"
34,1034,"male",39,0,"Academic"
35,1035,"male",68,0,"Academic"
36,1036,"female",20,28,"Academic"
37,1037,"male",10,8,"Academic"
38,1038,"male",84,5,"Academic"
39,1039,"male",1,5,"General"
40,1040,"female",35,27,"Academic"
41,1041,"female",32,5,"Academic"
42,1042,"female",34,18,"Academic"
43,1043,"female",40,19,"Academic"
44,1044,"male",29,9,"Academic"
45,1045,"male",20,9,"Academic"
46,1046,"female",27,4,"Academic"
47,1047,"male",74,2,"Academic"
48,1048,"male",38,3,"Academic"
49,1049,"male",21,9,"Academic"
50,1050,"female",81,20,"Academic"
51,1051,"male",16,6,"Academic"
52,1052,"male",59,0,"Academic"
53,1053,"male",48,27,"Academic"
54,1054,"female",55,12,"Academic"
55,1055,"female",4,34,"Academic"
56,1056,"male",57,1,"Academic"
57,1057,"male",5,28,"General"
58,1058,"male",3,8,"General"
59,1059,"female",23,3,"Academic"
60,1060,"female",35,2,"Academic"
61,1061,"male",33,1,"Academic"
62,1062,"female",27,7,"Academic"
63,1063,"male",13,4,"Academic"
64,1064,"male",46,8,"Academic"
65,1065,"female",30,6,"Academic"
66,1066,"male",32,16,"Academic"
67,1067,"female",26,6,"General"
68,1068,"female",14,4,"Academic"
69,1069,"female",31,3,"Vocational"
70,1070,"female",48,5,"Academic"
71,1071,"male",72,0,"Academic"
72,1072,"male",79,9,"Academic"
73,1073,"male",15,0,"Vocational"
74,1074,"male",24,8,"Academic"
75,1075,"female",55,0,"Vocational"
76,1076,"female",13,14,"General"
77,1077,"male",34,4,"Academic"
78,1078,"male",67,2,"Academic"
79,1079,"male",1,35,"Academic"
80,1080,"female",21,23,"Academic"
81,1081,"female",33,13,"Academic"
82,1082,"male",78,6,"Academic"
83,1083,"female",84,3,"General"
84,1084,"male",59,6,"Academic"
85,1085,"male",75,0,"Academic"
86,1086,"male",22,11,"General"
87,1087,"female",49,11,"Academic"
88,1088,"female",13,11,"Academic"
89,1089,"male",84,4,"Vocational"
90,1090,"male",27,6,"Academic"
91,1091,"female",27,23,"Academic"
92,1092,"female",70,5,"Academic"
93,1093,"male",96,5,"Academic"
94,1094,"female",70,29,"General"
