"sex","age","pstatus","medu","fedu","guardian","traveltime","studytime","failures","freetime","famrel","absences"
"F",18,"A",4,4,"mother",2,2,"0",3,4,"No"
"F",17,"T",1,1,"father",1,2,"0",3,5,"No"
"F",15,"T",1,1,"mother",1,2,"3",3,4,"No"
"F",15,"T",4,2,"mother",1,3,"0",2,3,"No"
"F",16,"T",3,3,"father",1,2,"0",3,4,"No"
"M",16,"T",4,3,"mother",1,2,"0",4,5,"No"
"M",16,"T",2,2,"mother",1,2,"0",4,4,"Yes"
"F",17,"A",4,4,"mother",2,2,"A",1,4,"No"
"M",15,"A",3,2,"mother",1,2,"0",2,4,"Yes"
"M",15,"T",3,4,"mother",1,2,"0",5,5,"Yes"
"F",15,"T",4,4,"mother",1,2,"0",3,3,"Yes"
"F",15,"T",2,1,"father",3,3,"0",2,5,"No"
"M",15,"T",4,4,"father",1,1,"0",3,4,"No"
"M",15,"T",4,3,"mother",2,2,"0",4,5,"No"
"M",15,"A",2,2,"other",1,3,"0",5,4,"Yes"
"F",16,"T",4,4,"mother",1,1,"0",4,4,"No"
"F",16,"T",4,4,"mother",1,3,"0",2,3,"No"
"F",16,"T",3,3,"mother",3,2,"0",3,5,"No"
"M",17,"T",3,2,"mother",1,1,"3",5,5,"No"
"M",16,"T",4,3,"father",1,1,"0",1,3,"No"
"M",15,"T",4,3,"mother",1,2,"0",4,4,"Yes"
"M",15,"T",4,4,"father",1,1,"0",4,5,"Yes"
"M",16,"T",4,2,"mother",1,2,"0",5,4,"No"
"M",16,"T",2,2,"mother",2,2,"0",4,5,"Yes"
"F",15,"T",2,4,"mother",1,3,"0",3,4,"No"
"F",16,"T",2,2,"mother",1,1,"2",2,1,"No"
"M",15,"T",2,2,"mother",1,1,"0",2,4,"No"
"M",15,"T",4,2,"mother",1,1,"0",2,2,"No"
"M",16,"A",3,4,"mother",1,2,"0",3,5,"No"
"M",16,"T",4,4,"mother",1,2,"0",4,4,"No"
"M",15,"T",4,4,"mother",1,2,"0",4,5,"Yes"
"M",15,"T",4,4,"mother",2,2,"0",3,4,"Yes"
"M",15,"T",4,3,"mother",1,2,"0",5,4,"Yes"
"M",15,"T",3,3,"mother",1,2,"0",3,5,"Yes"
"M",16,"T",3,2,"mother",1,1,"0",4,5,"Yes"
"F",15,"T",2,3,"father",2,1,"0",5,3,"Yes"
"M",15,"T",4,3,"mother",1,3,"A",4,5,"No"
"M",16,"A",4,4,"mother",2,3,"0",4,2,"No"
"F",15,"T",3,4,"mother",1,3,"0",3,4,"No"
"F",15,"T",2,2,"mother",1,1,"0",3,4,"No"
"F",16,"T",2,2,"mother",2,2,"1",3,3,"No"
"M",15,"T",4,4,"other",1,1,"0",4,5,"No"
"M",15,"T",4,4,"father",1,2,"0",3,4,"No"
"M",15,"T",2,2,"father",1,1,"0",4,5,"Yes"
"F",16,"T",2,2,"father",2,2,"1",3,4,"No"
"F",15,"A",4,3,"mother",1,2,"0",2,5,"No"
"F",16,"A",3,3,"mother",1,2,"0",3,2,"No"
"M",16,"T",4,3,"mother",1,4,"A",2,4,"No"
"M",15,"T",4,2,"mother",1,2,"0",3,4,"No"
"F",15,"T",4,4,"father",1,2,"1",4,4,"No"
"F",16,"T",2,2,"mother",3,2,"0",3,4,"No"
"F",15,"T",4,2,"mother",1,2,"0",3,4,"No"
"M",15,"A",4,2,"father",2,1,"1",5,5,"No"
"F",15,"T",4,4,"mother",1,1,"0",3,3,"Yes"
"F",15,"A",3,3,"mother",1,1,"0",3,5,"No"
"F",16,"A",2,1,"mother",1,2,"0",3,5,"No"
"F",15,"A",4,3,"mother",1,2,"0",3,4,"Yes"
