"","customer_id","age","income","clicks","email_open_rate","campaign_type"
"1",1,46,6707,5,0.49,"Discount"
"2",2,57,6018,5,0.78,"Sale"
"3",3,56,3518,4,0.8,"NewArrival"
"4",4,52,2015,4,0.68,"NewArrival"
"5",5,41,9021,1,0.58,"Sale"
"6",6,52,3073,8,0.33,"Sale"
"7",7,54,2182,2,0,"Sale"
"8",8,53,9513,5,0.07,"Discount"
"9",9,48,4344,7,0.09,"Discount"
"10",10,58,3315,5,0.01,"Sale"
"11",11,52,5193,4,0.34,"Sale"
"12",12,46,5677,5,0.12,"NewArrival"
"13",13,48,5472,7,0.59,"Discount"
"14",14,47,6136,3,0.04,"Discount"
"15",15,49,8770,10,0.01,"NewArrival"
"16",16,55,2441,5,0.16,"Discount"
"17",17,54,6433,8,0.83,"Discount"
"18",18,53,7506,8,0.77,"Sale"
"19",19,55,7264,6,0.27,"NewArrival"
"20",20,54,7307,6,0.19,"Discount"
"21",21,50,5778,6,0.23,"Discount"
"22",22,39,9756,2,0.06,"NewArrival"
"23",23,52,5218,4,0.06,"Sale"
"24",24,55,8796,5,0.15,"NewArrival"
"25",25,46,8053,9,0.07,"NewArrival"
"26",26,47,6261,6,0.04,"NewArrival"
"27",27,48,8993,6,0.52,"NewArrival"
"28",28,47,5737,5,0.79,"Discount"
"29",29,52,2065,2,0.69,"Discount"
"30",30,49,7822,7,0.07,"Sale"
"31",31,42,7733,4,0.02,"NewArrival"
"32",32,55,3499,4,0.44,"NewArrival"
"33",33,47,7169,1,0.16,"Sale"
"34",34,56,6336,3,0.72,"Sale"
"35",35,54,4683,4,0.7,"NewArrival"
"36",36,49,7103,7,0.89,"Discount"
"37",37,48,8634,0,0.33,"Sale"
"38",38,53,7672,5,0.97,"NewArrival"
"39",39,53,4788,8,0.98,"Sale"
"40",40,46,3027,6,0.04,"Discount"
"41",41,41,5105,3,0.89,"NewArrival"
"42",42,54,9425,7,0.82,"Sale"
"43",43,49,8435,4,0.72,"Discount"
"44",44,54,8070,5,0.29,"NewArrival"
"45",45,52,9658,4,0.5,"Discount"
"46",46,46,9951,2,0.43,"NewArrival"
"47",47,45,6852,6,0.61,"Sale"
"48",48,57,2235,5,0.93,"Sale"
"49",49,60,4692,6,0.24,"NewArrival"
"50",50,47,4221,2,0.27,"Discount"
"51",51,53,2938,6,0.74,"NewArrival"
"52",52,49,2346,4,0.75,"Discount"
"53",53,53,4962,4,0.93,"Discount"
"54",54,50,4695,7,0.46,"NewArrival"
"55",55,45,3389,2,0.86,"NewArrival"
"56",56,42,6974,2,0.31,"NewArrival"
"57",57,58,5183,4,0.21,"NewArrival"
"58",58,50,9645,5,0.92,"Discount"
"59",59,61,7227,5,0.05,"Discount"
"60",60,52,4630,4,0.41,"Discount"
"61",61,46,3577,3,0.46,"NewArrival"
"62",62,49,2923,4,0.42,"NewArrival"
"63",63,53,9968,5,0.67,"Sale"
