id,StudyTime,Tutoring,OnlineCourse,Absences,Failures,Score
1,3,Yes,Yes,8.0,0.0,12
2,1,Yes,Yes,4.0,2.0,11
3,1,Yes,No,7.0,1.0,14
4,2,No,No,7.0,1.0,14
5,0,No,Yes,5.0,1.0,11
6,2,No,No,4.0,2.0,20
7,0,No,Yes,3.0,0.0,16
8,1,Yes,Yes,3.0,0.0,17
9,1,Yes,Yes,4.0,0.0,13
10,2,Yes,No,2.0,2.0,15
11,0,No,Yes,2.0,0.0,11
12,2,Yes,Yes,6.0,0.0,13
13,2,Yes,No,8.0,0.0,12
14,2,Yes,Yes,7.0,3.0,15
15,3,Yes,Yes,6.0,0.0,20
16,2,No,No,,,17
17,2,Yes,No,3.0,2.0,20
18,3,Yes,No,3.0,0.0,17
19,2,Yes,Yes,8.0,0.0,16
20,1,Yes,Yes,9.0,0.0,12
21,4,Yes,No,3.0,1.0,15
22,0,Yes,No,2.0,0.0,13
23,1,No,No,3.0,1.0,17
24,3,No,No,3.0,0.0,10
25,1,No,No,2.0,1.0,14
26,2,Yes,No,4.0,1.0,15
27,0,Yes,Yes,3.0,0.0,20
28,3,Yes,Yes,,,11
29,3,No,Yes,4.0,1.0,18
30,4,Yes,No,4.0,0.0,17
31,0,Yes,No,3.0,0.0,14
32,0,Yes,No,1.0,0.0,16
33,1,Yes,Yes,5.0,0.0,14
34,1,No,Yes,2.0,0.0,15
35,2,No,Yes,2.0,0.0,17
36,3,No,No,3.0,0.0,20
37,0,Yes,Yes,4.0,0.0,17
38,0,Yes,No,4.0,0.0,15
39,4,Yes,Yes,2.0,0.0,19
40,1,No,No,3.0,0.0,10
41,0,Yes,No,3.0,0.0,13
42,2,No,No,4.0,0.0,15
43,2,Yes,Yes,3.0,0.0,11
44,3,Yes,Yes,3.0,0.0,13
45,2,No,Yes,3.0,0.0,10
46,2,No,Yes,3.0,0.0,11
47,1,Yes,No,4.0,0.0,14
48,2,Yes,No,7.0,0.0,12
49,4,No,No,6.0,0.0,16
50,4,No,Yes,8.0,0.0,15
51,2,Yes,No,3.0,0.0,16
52,2,Yes,No,3.0,0.0,13
53,1,Yes,Yes,2.0,0.0,18
54,1,No,Yes,5.0,1.0,16
55,3,No,No,3.0,1.0,15
56,2,No,Yes,5.0,1.0,15
57,1,Yes,Yes,5.0,0.0,14
58,2,No,Yes,,,18
59,0,Yes,Yes,4.0,0.0,18
60,3,Yes,Yes,4.0,0.0,13
61,2,Yes,Yes,2.0,0.0,15
62,1,Yes,Yes,7.0,2.0,13
63,0,Yes,Yes,4.0,1.0,20
64,2,Yes,Yes,4.0,0.0,14
65,4,Yes,No,3.0,0.0,18
66,2,Yes,Yes,5.0,0.0,20
67,1,No,Yes,6.0,0.0,15
68,1,Yes,Yes,4.0,0.0,9
69,2,No,Yes,2.0,0.0,19
70,2,No,No,2.0,0.0,13
71,0,Yes,No,3.0,0.0,12
72,3,Yes,Yes,6.0,0.0,20
73,1,Yes,No,7.0,0.0,11
74,2,Yes,Yes,4.0,0.0,19
75,3,No,Yes,4.0,0.0,14
76,2,No,Yes,10.0,0.0,9
77,2,Yes,Yes,6.0,0.0,17
78,2,Yes,Yes,5.0,0.0,8
79,1,Yes,No,3.0,0.0,14
80,4,No,Yes,2.0,0.0,10
81,1,Yes,Yes,2.0,0.0,14
82,0,Yes,No,5.0,0.0,17
83,4,No,Yes,4.0,1.0,16
84,2,Yes,No,3.0,0.0,15
85,2,Yes,Yes,3.0,0.0,18
86,3,No,Yes,2.0,0.0,14
87,2,Yes,Yes,6.0,0.0,14
88,1,Yes,Yes,1.0,1.0,15
89,0,No,No,5.0,2.0,13
