날짜,호선,역번호,승하차구분,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22
2023-01-01,A,201,승차,43.0,43,43,138,140,287,392,602,482,527,601,627,761,801,581,507,503,304
2023-01-01,A,201,하차,36.0,126,144,245,283,348,332,418,403,432,450,371,354,308,227,232,237,208
2023-01-01,A,202,승차,108.0,111,120,175,278,556,881,1097,1154,1258,1372,1556,1687,1901,1347,1333,1162,1029
2023-01-01,A,202,하차,114.0,312,387,869,899,773,1121,1106,1252,1236,1145,1319,1289,1082,874,732,612,414
2023-01-01,A,203,승차,52.0,69,107,238,244,553,673,801,880,806,774,847,748,714,554,508,423,366
2023-01-01,A,203,하차,55.0,299,247,546,645,741,823,579,787,668,576,629,549,578,424,352,340,258
2023-01-01,A,204,승차,21.0,49,50,81,152,256,368,345,404,378,318,330,317,248,236,161,111,88
2023-01-01,A,204,하차,37.0,61,86,108,122,204,238,316,305,328,287,287,302,236,217,189,232,233
2023-01-01,A,205,승차,63.0,89,135,164,262,363,497,527,601,690,782,733,761,718,628,532,570,348
2023-01-01,A,205,하차,49.0,158,172,241,306,428,680,715,732,824,715,779,761,710,567,534,486,457
2023-01-01,A,206,승차,78.0,171,141,229,305,423,379,564,581,621,623,554,547,433,383,287,270,221
2023-01-01,A,206,하차,49.0,123,136,215,271,437,426,554,592,575,523,599,654,596,449,414,365,366
2023-01-01,A,207,승차,91.0,162,138,246,355,360,413,528,596,495,413,417,403,316,215,218,193,113
2023-01-01,A,207,하차,36.0,136,119,189,251,355,232,274,354,364,414,488,545,529,441,430,429,332
2023-01-01,A,208,승차,149.0,168,151,281,298,357,419,579,535,505,514,593,596,519,429,453,457,427
2023-01-01,A,208,하차,60.0,169,150,217,273,307,346,390,439,520,488,579,632,686,576,470,453,403
2023-01-01,A,209,승차,21.0,54,31,81,73,78,99,127,100,119,136,160,145,148,134,135,82,71
2023-01-01,A,209,하차,17.0,82,161,45,98,96,85,86,155,153,160,146,153,125,106,123,142,122
2023-01-01,A,210,승차,75.0,124,128,142,247,218,252,441,492,510,740,741,724,722,599,550,481,312
2023-01-01,A,210,하차,28.0,140,134,141,346,472,546,608,725,702,744,701,719,443,378,290,236,209
2023-01-01,A,211,승차,152.0,148,138,205,291,387,407,711,742,741,1023,1116,1257,1254,1136,1131,1000,683
2023-01-01,A,211,하차,28.0,290,193,332,547,803,868,1151,1369,1338,1377,1360,1313,822,605,376,316,268
2023-01-01,A,212,승차,1394.0,985,677,683,876,745,888,1023,1194,1197,1360,1569,1703,1576,1576,1751,1919,1768
2023-01-01,A,212,하차,74.0,367,239,386,605,793,1059,1310,1650,1664,1950,2291,2471,2395,1894,1554,1505,1134
2023-01-01,A,213,승차,201.0,270,290,493,719,721,606,749,749,674,682,643,592,559,413,382,362,310
2023-01-01,A,213,하차,38.0,295,157,229,288,360,357,464,606,554,704,849,879,882,734,781,738,736
2023-01-01,A,214,승차,125.0,219,264,523,829,1009,1167,1221,1278,1243,1423,1697,1874,1608,1530,2087,1446,1219
2023-01-01,A,214,하차,107.0,516,433,495,603,700,789,1025,1223,1258,1535,1736,1615,1533,1289,1094,773,574
2023-01-01,A,215,승차,55.0,92,136,182,266,290,344,342,367,417,364,362,376,223,160,168,128,92
2023-01-01,A,215,하차,30.0,139,117,158,184,212,221,264,290,306,316,409,358,354,274,265,223,219
2023-01-01,A,216,승차,270.0,420,478,769,967,1206,1530,1906,2307,2775,3005,3993,4269,4317,3612,3635,3513,2317
2023-01-01,A,216,하차,197.0,725,630,1135,1626,1788,2546,3190,3472,3099,3542,3694,3099,2487,1973,1720,1511,1242
2023-01-01,A,217,승차,198.0,239,232,323,468,505,636,657,713,603,646,668,720,662,484,519,590,543
2023-01-01,A,217,하차,36.0,164,139,227,328,372,512,543,735,729,725,953,1035,903,753,591,595,518
2023-01-01,A,218,승차,37.0,73,82,97,173,258,286,408,309,319,521,1639,488,230,495,833,1702,152
2023-01-01,A,218,하차,31.0,128,117,243,312,354,340,484,1330,789,378,586,1375,1265,223,199,198,153
2023-01-01,A,219,승차,119.0,173,149,232,246,508,541,715,1377,1267,1525,2145,2150,2138,1650,1392,1495,1027
2023-01-01,A,219,하차,60.0,420,448,897,911,1175,1441,1549,1635,1763,1446,1446,1208,934,561,506,376,260
2023-01-01,A,220,승차,144.0,245,214,269,302,354,544,691,667,560,637,710,875,802,621,592,634,626
2023-01-01,A,220,하차,58.0,301,286,484,486,428,460,558,578,618,530,602,598,532,522,453,421,329
2023-01-01,A,221,승차,92.0,225,164,245,290,331,460,822,574,637,810,706,635,585,452,474,550,395
2023-01-01,A,221,하차,66.0,296,331,522,723,829,488,682,618,569,552,498,601,480,448,465,438,346
2023-01-01,A,222,승차,1015.0,909,592,506,585,697,798,1094,1231,1444,1591,1792,2003,1965,1787,1968,2411,2049
2023-01-01,A,222,하차,121.0,491,433,642,1097,1175,1136,1529,1961,1708,1880,2202,2334,2049,1547,1335,1096,738
2023-01-01,A,223,승차,79.0,215,161,197,295,316,428,475,559,649,610,575,600,537,545,571,543,409
2023-01-01,A,223,하차,90.0,247,206,380,712,524,613,519,618,515,489,592,635,606,417,412,419,362
2023-01-01,A,224,승차,38.0,116,87,134,665,285,1420,500,1743,816,984,1099,859,608,850,406,500,331
