id,Gender,Traditional,Online,Blended
1,M,89,65,58
2,M,73,82,76
3,M,80,82,74
4,M,83,50,93
5,M,78,56,86
6,M,71,53,71
7,M,53,51,71
8,M,70,83,83
9,M,75,59,79
10,M,93,81,93
11,M,61,75,82
12,M,54,73,82
13,M,80,63,86
14,M,75,60,95
15,M,66,60,81
16,M,82,77,87
17,M,62,73,79
18,M,98,50,72
19,M,84,86,86
20,M,84,66,73
21,F,77,71,68
22,F,78,79,75
23,F,71,55,85
24,F,79,52,79
25,F,78,59,93
26,F,88,84,89
27,F,74,70,100
28,F,77,83,78
29,F,63,50,86
30,F,84,67,95
31,F,76,55,65
32,F,79,82,94
33,F,82,64,64
34,F,79,57,94
35,F,70,65,83
36,F,86,50,78
37,F,79,70,69
38,F,74,55,66
39,F,82,56,76
40,F,80,69,75
