uid,city,description,homeType,latitude,longitude,garageSpaces,hasSpa,yearBuilt,numOfPatioAndPorchFeatures,lotSizeSqFt,avgSchoolRating,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,priceRange
1748,austin,"MULTIPLE OFFERS submit best & final to Agent by Mon 21st - 5pm. Appt with Agent.  RARE PANORAMIC VIEW LOT IN JESTER ESTATES SEE FOR MILES!!  Home sits on Cul-de-sac & backs to a Preserve.  Stunning remodeled Kitchen & Bathrooms. Master suite is a private sanctuary with chic master bath, huge bedroom, walk-in closet & private deck.  Jester has a pool, park, tennis courts & feeds into Anderson High.  This home has been well loved & features 3 living areas, an office, & 3 car garage.",Single Family,30.380088806152344,-97.80062103271484,0,False,1988,0,102366.0,7.0,17,4.0,4,650000+
13380,austin,"4644 Hoffman Dr, Austin, TX 78749 is a single family home that contains 2,059 sq ft and was built in 1997. It contains 4 bedrooms and 3 bathrooms. 
 
",Single Family,30.199485778808604,-97.85994720458984,0,False,1997,0,6534.0,6.666666666666668,16,3.0,4,350000-450000
4115,austin,"6804 Canal St, Austin, TX 78741 is a single family home that contains 832 sq ft and was built in 1952. It contains 2 bedrooms and 1 bathroom. 
 
",Single Family,30.227397918701172,-97.69608306884766,0,False,1952,0,5619.0,3.333333333333333,11,1.0,2,0-250000
6926,austin,"Beautiful large lot with established trees. Lovely, light filled, spacious home, with large dining area, living room and kitchen in open floor plan layout. Large family-friendly back yard, newly redone patio that spans the back of the home with built-in fire pit in the yard and a newly built large shed. New laminate floors and tile throughout, renovated bathroom in 2017. Upgraded kitchen with stainless appliances, new washer/dryer. Built-in closet, laundry room and utility room. LED recessed lighting, low-profile ceiling fans throughout. Wired for Google Fiber.

Neighborhood Description

The Garrison Park Neighborhood Planning Area is located in southwest Austin. The boundaries for the planning area are Stassney on the north, the City of Sunset Valley on the west, William Cannon on the south and South First on the east.",Single Family,30.20546913146973,-97.79235076904295,4,False,1976,0,6416.0,4.0,14,2.0,4,0-250000
14480,austin,"Stunning NW Hills designer remodel by Cedar and Oak Homes ~ Wonderful open & bright concept w/vaulted ceilings & formal dining room ~ Gorgeous kitchen features custom wood cabinetry, quartz countertops, double pantry, custom built-in breakfast nook and KitchenAid appliances ~ Beautiful oak engineered hardwood flooring throughout ~ Spacious Master bedroom with fantastic master bathroom ensuite ~ All new exterior Hardie Plank siding, Elevate Low-E windows, mechanical systems & fantastic new landscaping",Single Family,30.34510612487793,-97.76742553710938,2,False,1984,0,10759.0,7.0,16,3.0,5,650000+
13448,austin,"1808 Saint Albans Blvd, Austin, TX 78745 is a single family home that contains 1,554 sq ft and was built in 1964. It contains 3 bedrooms and 2 bathrooms. 
 
",Single Family,30.21816253662109,-97.79425048828124,0,False,1964,0,9452.0,4.666666666666667,14,2.0,3,450000-650000
1996,austin,"Stunning 1story contemporary home on a beautifully landscaped private Corner/cul-de-sac/1acre lot. Open entertaining floorplan~an attached casita w/ Fleetwood doors that disappear into the walls for gracious indoor/outdoor entertaining~pool and spa invite you w/ beautiful hill country views~& much more. The home features 4/5bed depending how you use the office, 4 full baths, multiple living areas, climate controlled wine room, spa like master bath & 3car garage. This home has extensive upgrades. MUST SEE!",Single Family,30.28398132324219,-97.88578033447266,0,False,2015,0,45302.4,5.666666666666668,16,4.0,5,650000+
11353,austin,"HIGH RENTABLE AREA! Beautifully kept duplex located minutes away from great restaurants, shopping, and easy access to I-35 and HWY 183! Each unit features 3 bed 2 bath with an amazing floor plan!",Multiple Occupancy,30.327396392822266,-97.69390106201172,1,False,1967,0,8886.0,3.333333333333333,15,4.0,6,0-250000
4643,austin,"Beautifully, south Austin home on large corner lot adorned with wonderful Texas live oak trees! This 2-store home boasts a spacious kitchen, family room, formal living room with vaulted ceilings, and dining area. All bedrooms are centrally located on the spacious 2nd floor along with a multi-use loft space. Located moments from Mopac and local shopping.  *Please Text/Call Agent to schedule showing a minimum of 2 hours prior to showing, owner works from home* *Showings to begin Monday 5/14/18*",Single Family,30.20991516113281,-97.84527587890624,2,False,1983,0,7535.0,4.666666666666667,14,3.0,3,250000-350000
3118,austin,This fantastic property is walking distance to Walnut Creek! Spacious floor plan with beautiful wood laminate throughout living. Cozy fireplace that makes it perfect for entertainment. HIGH ceilings! Kitchen features granite countertops and stainless steel appliances! Ample cabinet space! Great size master with updated bath and double vanity! 4th bedroom could be used for a play space or office. The property is complete with an amazing backyard space with extended decking! Will not last long!,Single Family,30.381290435791016,-97.6676254272461,0,False,1972,0,13068.0,5.0,15,2.0,4,250000-350000
