"attrition_flag","gender","customer_age","income_category","card_category","credit_limit","total_revolving_bal","avg_utilization_ratio","avg_open_to_buy","months_inactive_12_mon"
"Existing Customer","M",45,"$60K - $80K","Blue",12691,777,0.061,11914,1
"Existing Customer","F",49,"Less than $40K","Blue",8256,864,0.105,7392,1
"Existing Customer","M",51,"$80K - $120K","Blue",3418,0,0,3418,1
"Existing Customer","F",40,"Less than $40K","Blue",3313,2517,0.76,796,4
"Existing Customer","M",40,"$60K - $80K","Blue",4716,0,0,4716,1
"Existing Customer","M",44,"$40K - $60K","Blue",4010,1247,0.311,2763,1
"Existing Customer","M",51,"$120K +","Gold",34516,2264,0.066,32252,1
"Existing Customer","M",32,"$60K - $80K","Silver",29081,1396,0.048,27685,2
"Existing Customer","M",37,"$60K - $80K","Blue",22352,2517,0.113,19835,2
"Existing Customer","M",48,"$80K - $120K","Blue",11656,1677,0.144,9979,3
"Existing Customer","M",42,"$120K +","Blue",6748,1467,0.217,5281,3
"Existing Customer","M",65,"$40K - $60K","Blue",9095,1587,0.174,7508,2
"Existing Customer","M",56,"$80K - $120K","Blue",11751,0,0,11751,6
"Existing Customer","M",35,"$60K - $80K","Blue",8547,1666,0.195,6881,1
"Existing Customer","F",57,"Less than $40K","Blue",2436,680,0.279,1756,2
"Existing Customer","M",44,"$80K - $120K","Blue",4234,972,0.23,3262,1
"Existing Customer","M",48,"$80K - $120K","Blue",30367,2362,0.078,28005,2
"Existing Customer","M",41,"$80K - $120K","Blue",13535,1291,0.095,12244,4
"Existing Customer","M",61,"$40K - $60K","Blue",3193,2517,0.788,676,2
"Existing Customer","F",45,"Unknown","Blue",14470,1157,0.08,13313,1
"Existing Customer","M",47,"$60K - $80K","Blue",20979,1800,0.086,19179,2
"Attrited Customer","F",62,"Less than $40K","Blue",1438.3,0,0,1438.3,3
"Existing Customer","M",41,"$40K - $60K","Blue",4470,680,0.152,3790,2
"Existing Customer","F",47,"Less than $40K","Blue",2492,1560,0.626,932,3
"Existing Customer","M",54,"$80K - $120K","Blue",12217,0,0,12217,2
"Existing Customer","F",41,"Less than $40K","Blue",7768,1669,0.215,6099,1
"Existing Customer","M",59,"$40K - $60K","Blue",14784,1374,0.093,13410,1
"Existing Customer","M",63,"$60K - $80K","Blue",10215,1010,0.099,9205,3
"Existing Customer","F",44,"Unknown","Blue",10100,0,0,10100,2
"Existing Customer","M",47,"$40K - $60K","Blue",4785,1362,0.285,3423,0
"Existing Customer","M",53,"$80K - $120K","Blue",2753,1811,0.658,942,2
"Existing Customer","M",53,"$60K - $80K","Blue",2451,1690,0.69,761,5
"Existing Customer","M",41,"$60K - $80K","Blue",8923,2517,0.282,6406,1
"Existing Customer","F",53,"Less than $40K","Blue",2650,1490,0.562,1160,2
"Existing Customer","M",58,"$80K - $120K","Blue",12555,1696,0.135,10859,2
"Existing Customer","F",55,"Less than $40K","Blue",3520,1914,0.544,1606,2
"Existing Customer","F",55,"Less than $40K","Blue",3035,2298,0.757,737,2
"Existing Customer","F",42,"Less than $40K","Gold",15433,0,0,15433,3
"Existing Customer","F",57,"$40K - $60K","Blue",3672,886,0.241,2786,3
"Attrited Customer","F",66,"Unknown","Blue",7882,605,0.077,7277,4
"Existing Customer","M",45,"$80K - $120K","Blue",32426,578,0.018,31848,2
"Existing Customer","M",51,"$40K - $60K","Blue",6205,2204,0.355,4001,1
"Existing Customer","F",50,"$40K - $60K","Silver",17304,2517,0.145,14787,2
"Existing Customer","M",49,"$60K - $80K","Blue",3906,0,0,3906,2
"Existing Customer","F",38,"Unknown","Blue",9830,2055,0.209,7775,3
"Existing Customer","M",49,"$80K - $120K","Blue",34516,0,0,34516,2
"Existing Customer","M",56,"$60K - $80K","Blue",2283,1430,0.626,853,2
"Existing Customer","M",59,"$40K - $60K","Blue",2548,2020,0.793,528,2
