"iot_number","error_case_number"
1,3
2,8
3,4
4,9
5,9
6,0
7,5
8,9
9,6
10,5
11,10
12,5
13,7
14,6
15,1
16,9
17,2
18,0
19,3
20,10
21,9
22,7
23,6
24,10
25,7
26,7
27,5
28,6
29,3
30,1
31,10
32,9
33,7
34,8
35,0
36,5
37,8
38,2
39,3
40,2
41,1
42,4
43,4
44,4
45,2
46,1
47,2
48,5
49,3
50,9
51,0
52,4
53,8
54,1
55,6
56,2
57,1
58,8
59,9
60,4
61,7
62,1
63,4
64,3
65,8
66,4
67,8
68,8
69,8
70,4
71,8
72,6
73,7
74,0
75,5
76,2
77,4
78,6
79,4
80,1
81,2
82,7
83,4
84,8
85,1
86,4
87,10
88,9
89,9
90,2
91,1
92,7
93,3
94,7
95,3
96,2
97,8
98,1
99,5
100,5
101,6
102,3
103,5
104,10
105,5
106,9
107,9
108,6
109,4
110,1
111,9
112,3
113,1
114,9
115,7
116,1
117,5
118,10
119,6
120,4
121,6
122,3
123,3
124,2
125,4
126,10
127,2
128,1
129,1
130,7
131,6
132,9
133,7
134,7
135,5
136,7
137,8
138,8
139,10
140,4
141,3
142,4
143,0
144,2
145,8
146,2
147,2
148,1
149,2
150,7
151,8
152,5
153,4
154,2
155,1
156,4
157,6
158,2
159,4
160,2
161,5
162,4
163,6
164,4
165,4
166,5
167,7
168,2
169,4
170,3
171,6
172,2
173,9
174,7
175,7
176,6
177,4
178,5
179,9
180,6
181,8
182,3
183,7
184,3
185,6
186,5
187,3
188,6
189,9
190,9
191,3
192,3
193,10
194,6
195,9
196,5
197,4
198,7
199,2
200,6
